origin,destination,scenario,delta,gru_ms,b1_tt_s,b2_tt_s,b3_tt_s,b4_tt_s,fw_tt_s,fw_lat_ms,n_replannings,red_vs_b1,red_vs_b2,red_vs_b3,red_vs_b4,framework_tt_s,b1_dijkstra_tt_s,b2_static_astar_tt_s,b3_reactive_astar_tt_s,b4_oracle_tt_s,framework_lat_ms,framework_n_replannings,gru_inference_ms,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_reactive_astar_pct,reduction_vs_oracle_pct
50,23,peak_hour,0.05,39.90310599965596,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,482.69626633538155,0.7852689996070694,0,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0,482.69626633538155,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,0.7852689996070694,0,39.90310599965596,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0
50,23,peak_hour,0.1,39.90310599965596,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,482.69626633538155,0.7989759997144574,0,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0,482.69626633538155,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,0.7989759997144574,0,39.90310599965596,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0
50,23,peak_hour,0.15,39.90310599965596,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,482.69626633538155,0.7842280001568724,0,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0,482.69626633538155,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,0.7842280001568724,0,39.90310599965596,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0
50,23,peak_hour,0.2,39.90310599965596,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,482.69626633538155,0.8661790002406633,0,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0,482.69626633538155,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,0.8661790002406633,0,39.90310599965596,0.24178419371490711,0.15940490375480948,0.24178419371490711,0.0
16,158,peak_hour,0.05,36.95967200019368,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,472.2715332075163,0.17672400008450495,0,0.0,10.8803317102794,0.0,0.0,472.2715332075163,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,0.17672400008450495,0,36.95967200019368,0.0,10.8803317102794,0.0,0.0
16,158,peak_hour,0.1,36.95967200019368,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,472.2715332075163,0.18913099984274595,0,0.0,10.8803317102794,0.0,0.0,472.2715332075163,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,0.18913099984274595,0,36.95967200019368,0.0,10.8803317102794,0.0,0.0
16,158,peak_hour,0.15,36.95967200019368,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,472.2715332075163,0.18156600026486558,0,0.0,10.8803317102794,0.0,0.0,472.2715332075163,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,0.18156600026486558,0,36.95967200019368,0.0,10.8803317102794,0.0,0.0
16,158,peak_hour,0.2,36.95967200019368,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,472.2715332075163,0.18366200038144598,0,0.0,10.8803317102794,0.0,0.0,472.2715332075163,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,0.18366200038144598,0,36.95967200019368,0.0,10.8803317102794,0.0,0.0
189,60,peak_hour,0.05,37.87162900016483,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,618.5727286497721,0.10729349992288917,1,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886,618.5727286497721,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,0.10729349992288917,1,37.87162900016483,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886
189,60,peak_hour,0.1,37.87162900016483,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,618.5727286497721,0.1075494999440707,1,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886,618.5727286497721,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,0.1075494999440707,1,37.87162900016483,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886
189,60,peak_hour,0.15,37.87162900016483,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,618.5727286497721,0.11127749985462287,1,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886,618.5727286497721,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,0.11127749985462287,1,37.87162900016483,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886
189,60,peak_hour,0.2,37.87162900016483,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,618.5727286497721,0.1157320000402251,1,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886,618.5727286497721,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,0.1157320000402251,1,37.87162900016483,-8.985649469612117,-16.274455960539886,-8.985649469612117,-16.274455960539886
104,162,peak_hour,0.05,39.35641199996098,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,508.0161307416689,0.2502769998500298,0,0.0,21.819565521134546,0.0,0.0,508.0161307416689,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,0.2502769998500298,0,39.35641199996098,0.0,21.819565521134546,0.0,0.0
104,162,peak_hour,0.1,39.35641199996098,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,508.0161307416689,0.21649300015269546,0,0.0,21.819565521134546,0.0,0.0,508.0161307416689,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,0.21649300015269546,0,39.35641199996098,0.0,21.819565521134546,0.0,0.0
104,162,peak_hour,0.15,39.35641199996098,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,508.0161307416689,0.21569099999396713,0,0.0,21.819565521134546,0.0,0.0,508.0161307416689,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,0.21569099999396713,0,39.35641199996098,0.0,21.819565521134546,0.0,0.0
104,162,peak_hour,0.2,39.35641199996098,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,508.0161307416689,0.21523700024772552,0,0.0,21.819565521134546,0.0,0.0,508.0161307416689,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,0.21523700024772552,0,39.35641199996098,0.0,21.819565521134546,0.0,0.0
86,168,peak_hour,0.05,39.80341900023632,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,541.694212469066,0.17174200002045836,0,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286,541.694212469066,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,0.17174200002045836,0,39.80341900023632,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286
86,168,peak_hour,0.1,39.80341900023632,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,541.694212469066,0.15188199995463947,0,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286,541.694212469066,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,0.15188199995463947,0,39.80341900023632,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286
86,168,peak_hour,0.15,39.80341900023632,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,541.694212469066,0.16116999995574588,0,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286,541.694212469066,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,0.16116999995574588,0,39.80341900023632,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286
86,168,peak_hour,0.2,39.80341900023632,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,541.694212469066,0.14876099976390833,0,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286,541.694212469066,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,0.14876099976390833,0,39.80341900023632,-14.460595848939573,-10.958660668763349,-14.460595848939573,-0.48668514026966286
