origin,destination,scenario,delta,gru_inference_ms,b1_dijkstra_tt_s,b1_dijkstra_lat_ms,b2_static_astar_tt_s,b2_static_astar_lat_ms,b3_reactive_astar_tt_s,b3_reactive_astar_lat_ms,b4_oracle_tt_s,b4_oracle_lat_ms,framework_tt_s,framework_lat_ms,framework_n_replannings,framework_feasible,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_reactive_astar_pct,reduction_vs_oracle_pct,dataset,sliding
122795322,122420459,peak_hour,0.05,0.000200001522898674,895.5223880597015,0.5996999971102923,895.5223880597015,0.6925999914528802,895.5223880597015,0.599299994064495,895.5223880597015,0.6053999968571588,191.30055808012176,0.4276999970898032,0,True,78.63810434771975,78.63810434771975,78.63810434771975,78.63810434771975,metr_la,True
122795322,122420459,peak_hour,0.1,0.000200001522898674,895.5223880597015,0.5103000003146008,895.5223880597015,0.6916999991517514,895.5223880597015,0.691299996105954,895.5223880597015,0.6943000043975189,191.30055808012176,0.45870000030845404,0,True,78.63810434771975,78.63810434771975,78.63810434771975,78.63810434771975,metr_la,True
122795322,122420459,peak_hour,0.15,0.000100000761449337,895.5223880597015,0.5750000127591193,895.5223880597015,0.7587000000057742,895.5223880597015,0.7485999958589673,895.5223880597015,0.7493000011891127,191.30055808012176,0.4597000079229474,0,True,78.63810434771975,78.63810434771975,78.63810434771975,78.63810434771975,metr_la,True
122795322,122420459,peak_hour,0.2,0.000200001522898674,895.5223880597015,0.5443999980343506,895.5223880597015,0.738600007025525,895.5223880597015,0.742000003810972,895.5223880597015,1.6378000000258908,191.30055808012176,0.8582000009482726,0,True,78.63810434771975,78.63810434771975,78.63810434771975,78.63810434771975,metr_la,True
3844732017,72017839,peak_hour,0.05,0.000300002284348011,522.3880597014926,0.3220000071451068,522.3880597014926,0.38100000529084355,522.3880597014926,0.3355000080773607,522.3880597014926,0.3186000103596598,141.6429020635798,0.24649999977555126,0,True,72.88550160497186,72.88550160497186,72.88550160497186,72.88550160497186,metr_la,True
3844732017,72017839,peak_hour,0.1,0.000100000761449337,522.3880597014926,0.2595999976620078,522.3880597014926,0.34139999479521066,522.3880597014926,0.3341999981785193,522.3880597014926,0.3370000049471855,141.6429020635798,0.22669999452773482,0,True,72.88550160497186,72.88550160497186,72.88550160497186,72.88550160497186,metr_la,True
3844732017,72017839,peak_hour,0.15,0.000100000761449337,522.3880597014926,0.2640000020619482,522.3880597014926,0.3495999990263954,522.3880597014926,0.3588999970816076,522.3880597014926,0.3887999919243157,141.6429020635798,0.2390000008745119,0,True,72.88550160497186,72.88550160497186,72.88550160497186,72.88550160497186,metr_la,True
3844732017,72017839,peak_hour,0.2,0.000100000761449337,522.3880597014926,0.2677000011317432,522.3880597014926,0.3571999986888841,522.3880597014926,0.3527999942889437,522.3880597014926,0.3571999986888841,141.6429020635798,0.23260001034941524,0,True,72.88550160497186,72.88550160497186,72.88550160497186,72.88550160497186,metr_la,True
1788084236,3854501359,peak_hour,0.05,0.000300002284348011,522.3880597014926,0.4059000057168305,522.3880597014926,0.4524999967543408,522.3880597014926,0.43080000614281744,522.3880597014926,0.378700002329424,103.19128759697325,0.5062999989604577,0,True,80.24623923143655,80.24623923143655,80.24623923143655,80.24623923143655,metr_la,True
1788084236,3854501359,peak_hour,0.1,0.000100000761449337,522.3880597014926,0.3598999901441857,522.3880597014926,0.41510000301059335,522.3880597014926,0.40210000588558614,522.3880597014926,0.4841999907512218,103.19128759697325,0.15610000991728157,0,True,80.24623923143655,80.24623923143655,80.24623923143655,80.24623923143655,metr_la,True
1788084236,3854501359,peak_hour,0.15,0.000200001522898674,522.3880597014926,0.38899999344721437,522.3880597014926,0.421799995820038,522.3880597014926,0.4202999989502132,522.3880597014926,0.40970000554807484,103.19128759697325,0.1588000013725832,0,True,80.24623923143655,80.24623923143655,80.24623923143655,80.24623923143655,metr_la,True
1788084236,3854501359,peak_hour,0.2,0.000200001522898674,522.3880597014926,0.3623999946285039,522.3880597014926,0.41870000131893903,522.3880597014926,0.45199999294709414,522.3880597014926,0.40099999750964344,103.19128759697325,0.18430000636726618,0,True,80.24623923143655,80.24623923143655,80.24623923143655,80.24623923143655,metr_la,True
337173652,69238335,peak_hour,0.05,0.000300002284348011,261.1940298507463,0.0943000050028786,261.1940298507463,0.09529999806545675,261.1940298507463,0.06639999628532678,261.1940298507463,0.06479999865405262,69.20670782629445,0.03709999145939946,0,True,73.50371757507584,73.50371757507584,73.50371757507584,73.50371757507584,metr_la,True
337173652,69238335,peak_hour,0.1,0.000100000761449337,261.1940298507463,0.05560000136028975,261.1940298507463,0.07259999983943999,261.1940298507463,0.06649999704677612,261.1940298507463,0.06500000017695129,69.20670782629445,0.029399991035461426,0,True,73.50371757507584,73.50371757507584,73.50371757507584,73.50371757507584,metr_la,True
337173652,69238335,peak_hour,0.15,0.000200001522898674,261.1940298507463,0.05490001058205962,261.1940298507463,0.0703999976394698,261.1940298507463,0.06620000931434333,261.1940298507463,0.06690000009257346,69.20670782629445,0.028700000257231295,0,True,73.50371757507584,73.50371757507584,73.50371757507584,73.50371757507584,metr_la,True
337173652,69238335,peak_hour,0.2,0.000100000761449337,261.1940298507463,0.05539999983739108,261.1940298507463,0.07139999070204794,261.1940298507463,0.06749999010935426,261.1940298507463,0.06809999467805028,69.20670782629445,0.028000009479001164,0,True,73.50371757507584,73.50371757507584,73.50371757507584,73.50371757507584,metr_la,True
1614922799,123302809,peak_hour,0.05,0.000300002284348011,708.955223880597,0.5191999953240156,708.955223880597,0.5519999976968393,708.955223880597,0.46749999455641955,708.955223880597,0.4545999981928617,190.30581934786574,0.3215000033378601,0,True,73.15686337619579,73.15686337619579,73.15686337619579,73.15686337619579,metr_la,True
1614922799,123302809,peak_hour,0.1,0.000100000761449337,708.955223880597,0.4191000043647364,708.955223880597,0.6536000000778586,708.955223880597,0.6111999973654747,708.955223880597,0.6468000065069646,190.30581934786574,0.2817999920807779,0,True,73.15686337619579,73.15686337619579,73.15686337619579,73.15686337619579,metr_la,True
1614922799,123302809,peak_hour,0.15,0.000100000761449337,708.955223880597,0.415000002249144,708.955223880597,0.5383000097936019,708.955223880597,0.5141000001458451,708.955223880597,0.5196999991312623,190.30581934786574,0.29799999902024865,0,True,73.15686337619579,73.15686337619579,73.15686337619579,73.15686337619579,metr_la,True
1614922799,123302809,peak_hour,0.2,0.000100000761449337,708.955223880597,0.5000999954063445,708.955223880597,0.47810000251047313,708.955223880597,0.4845999937970191,708.955223880597,0.4523999959928915,190.30581934786574,0.2649999951245263,0,True,73.15686337619579,73.15686337619579,73.15686337619579,73.15686337619579,metr_la,True
26666265,25062104,peak_hour,0.05,0.000200001522898674,738.2026268656716,0.5468000017572194,738.2026268656716,0.7077000045683235,738.2026268656716,0.5697000015061349,738.2026268656716,0.5507999885594472,95.92946700966988,0.09960000170394778,0,True,87.00499517090911,87.00499517090911,87.00499517090911,87.00499517090911,metr_la,True
26666265,25062104,peak_hour,0.1,0.000100000761449337,738.2026268656716,0.4499000060604885,738.2026268656716,0.5672000115737319,738.2026268656716,0.5652000108966604,738.2026268656716,0.5704000068362802,95.92946700966988,0.0881999876582995,0,True,87.00499517090911,87.00499517090911,87.00499517090911,87.00499517090911,metr_la,True
26666265,25062104,peak_hour,0.15,0.000100000761449337,738.2026268656716,0.4504999960772693,738.2026268656716,0.5760999920312315,738.2026268656716,0.6484000041382387,738.2026268656716,0.8468000014545396,95.92946700966988,0.0822000001790002,0,True,87.00499517090911,87.00499517090911,87.00499517090911,87.00499517090911,metr_la,True
26666265,25062104,peak_hour,0.2,0.000100000761449337,738.2026268656716,0.4322000022511929,738.2026268656716,0.5438000080175698,738.2026268656716,0.5401999951573089,738.2026268656716,0.5489999894052744,95.92946700966988,0.07870000263210386,0,True,87.00499517090911,87.00499517090911,87.00499517090911,87.00499517090911,metr_la,True
71986961,122751426,peak_hour,0.05,0.00039998849388211966,373.13432835820896,0.14930000179447234,373.13432835820896,0.1677999971434474,373.13432835820896,0.13700000999961048,373.13432835820896,0.1286000042455271,81.51247736439974,0.043199994252063334,0,True,78.15465606634088,78.15465606634088,78.15465606634088,78.15465606634088,metr_la,True
71986961,122751426,peak_hour,0.1,0.000100000761449337,373.13432835820896,0.11100000119768083,373.13432835820896,0.1303000026382506,373.13432835820896,0.1275000104214996,373.13432835820896,0.1272999943466857,81.51247736439974,0.03680000372696668,0,True,78.15465606634088,78.15465606634088,78.15465606634088,78.15465606634088,metr_la,True
71986961,122751426,peak_hour,0.15,0.000100000761449337,373.13432835820896,0.11559999256860465,373.13432835820896,0.13599998783320189,373.13432835820896,0.1328999933321029,373.13432835820896,0.1328999933321029,81.51247736439974,0.03470000228844583,0,True,78.15465606634088,78.15465606634088,78.15465606634088,78.15465606634088,metr_la,True
