coverage,ret_seed,scenario,origin,destination,b1_tt_s,b2_tt_s,b3_tt_s,b4_tt_s,fw_tt_s,red_vs_b1,red_vs_b3,n_replannings,fw_lat_ms,n_affected,n_affected_obs,incident_visible
0.1,0,peak_hour,148,33,788.3350754514928,621.5740981636383,788.3350754514928,702.2774336328836,702.2774336328836,10.916378643855541,10.916378643855541,0,0.4874700025538914,0,0,
0.1,0,peak_hour,34,78,604.6503309744871,611.9650935405276,604.6503309744871,601.4657306554516,602.2190783069924,0.4020923404732772,0.4020923404732772,0,0.20595300156855956,0,0,
0.1,0,peak_hour,125,74,686.8892101265243,655.1750880217078,686.8892101265243,685.65707282289,685.65707282289,0.17937933592046948,0.17937933592046948,0,0.4843900023843162,0,0,
0.1,0,peak_hour,198,18,419.02914766396106,414.14970875919204,419.02914766396106,419.02914766396106,419.02914766396106,0.0,0.0,0,0.5272960042930208,0,0,
0.1,0,peak_hour,158,200,609.63857258191,609.63857258191,609.63857258191,609.63857258191,609.63857258191,0.0,0.0,0,0.20941199909429997,0,0,
0.1,0,peak_hour,54,148,618.4766452887958,618.4766452887958,618.4766452887958,897.9547236977099,897.9547236977099,-45.18813774745087,-45.18813774745087,0,0.2826089985319413,0,0,
0.1,0,peak_hour,92,186,758.3799029509612,728.7362368848501,758.3799029509612,758.3799029509612,758.3799029509612,0.0,0.0,0,0.25405500491615385,0,0,
0.1,0,peak_hour,130,17,665.3620337692022,672.9631254330245,665.3620337692022,639.3557661208417,738.1859729833068,-10.945009711715148,-10.945009711715148,0,1.5086750063346699,0,0,
0.1,0,peak_hour,162,8,458.46161818262647,420.8487783134232,458.46161818262647,458.46161818262647,458.46161818262647,0.0,0.0,0,0.2753510052571073,0,0,
0.1,0,peak_hour,140,21,330.045587826276,330.045587826276,330.045587826276,330.045587826276,330.045587826276,0.0,0.0,0,0.16672100173309445,0,0,
0.1,0,peak_hour,164,35,523.8800562381613,523.8800562381613,523.8800562381613,523.8800562381613,523.8800562381613,0.0,0.0,0,0.18770399765344337,0,0,
0.1,0,peak_hour,92,71,463.0798421809935,463.0798421809935,463.0798421809935,463.0798421809935,463.0798421809935,0.0,0.0,0,0.20241300080670044,0,0,
0.1,0,peak_hour,75,171,416.5212932732322,432.70284886484103,416.5212932732322,410.6745224870512,410.6745224870512,1.4037147393436062,1.4037147393436062,0,0.4257539985701442,0,0,
0.1,0,peak_hour,2,185,490.7464695978283,490.7464695978283,490.7464695978283,536.3507850174054,536.3507850174054,-9.292846356480226,-9.292846356480226,0,0.24613900313852355,0,0,
0.1,0,peak_hour,50,136,487.71095609608864,485.28073690053253,487.71095609608864,487.71095609608864,487.71095609608864,0.0,0.0,0,0.3387649994692765,0,0,
0.1,0,peak_hour,127,189,620.0790374304386,559.0499221648507,620.0790374304386,618.1292001788462,619.6365686917378,0.07135682904784614,0.07135682904784614,0,0.44047299888916314,0,0,
0.1,0,peak_hour,128,106,324.6090762972357,584.6994277053456,324.6090762972357,324.2929984612017,324.2929984612017,0.09737184173634912,0.09737184173634912,0,0.4014980004285462,0,0,
0.1,0,peak_hour,37,34,398.9529537935392,366.52197298826155,398.9529537935392,398.9529537935392,398.9529537935392,0.0,0.0,0,0.2852730031008832,0,0,
0.1,0,peak_hour,200,205,404.6834679539757,404.6834679539757,404.6834679539757,404.6834679539757,404.6834679539757,0.0,0.0,0,0.17930100148078054,0,0,
0.1,0,peak_hour,31,184,439.6588769593497,433.1984932717153,439.6588769593497,441.21654384216197,441.21654384216197,-0.3542898743646408,-0.3542898743646408,0,1.1799850035458803,0,0,
0.1,0,peak_hour,18,154,567.1201452072114,558.1347042704341,567.1201452072114,556.9637946391917,548.3101435671208,3.3167577979826306,3.3167577979826306,0,1.0675829980755225,0,0,
0.1,0,peak_hour,69,136,836.5652246142245,866.4231470231219,836.5652246142245,844.1381964373309,841.4697595327655,-0.5862704753000809,-0.5862704753000809,0,0.49142799980472773,0,0,
0.1,0,peak_hour,183,19,390.40868598047143,399.7267156826316,390.40868598047143,397.65567794659205,394.9361285738088,-1.159667485872438,-1.159667485872438,1,0.21621799896820448,0,0,
0.1,0,peak_hour,152,154,384.19075680375784,381.4777258859192,384.19075680375784,383.332239566515,383.332239566515,0.22346119005704268,0.22346119005704268,0,0.871071002620738,0,0,
0.1,0,peak_hour,184,31,326.01137368692,326.01137368692,326.01137368692,326.01137368692,326.01137368692,0.0,0.0,0,0.20085500000277534,0,0,
0.1,0,peak_hour,76,124,898.2865366090539,911.3347231937352,898.2865366090539,849.9901411372872,901.3257711118433,-0.33833686456687434,-0.33833686456687434,0,0.32770100369816646,0,0,
0.1,0,peak_hour,89,29,969.9268825677634,903.6028632316844,969.9268825677634,1070.8067909221804,750.7474767425308,22.597518407261976,22.597518407261976,0,2.658420999068767,0,0,
0.1,0,peak_hour,158,120,617.2372122365447,617.2372122365447,617.2372122365447,611.4073213009184,611.4073213009184,0.9445138465488506,0.9445138465488506,0,0.7438520042342134,0,0,
0.1,0,peak_hour,5,148,465.47909848974257,439.22068422097703,465.47909848974257,466.126874657828,466.126874657828,-0.13916332015490432,-0.13916332015490432,0,0.33208900276804343,0,0,
0.1,0,peak_hour,89,25,597.0293013858269,597.0293013858269,597.0293013858269,579.1845603831495,579.1845603831495,2.9889221452374533,2.9889221452374533,0,0.9490660013398156,0,0,
0.1,0,peak_hour,16,82,719.5929435053506,599.2062073212351,719.5929435053506,719.5929435053506,719.5929435053506,0.0,0.0,0,0.32335499417968094,0,0,
0.1,0,peak_hour,64,197,552.3530820051187,518.0824960114384,552.3530820051187,561.1047968065991,553.1078386995148,-0.13664388214440526,-0.13664388214440526,1,0.18335849745199084,0,0,
0.1,0,off_peak,18,160,470.5526345092964,468.52864946870255,470.5526345092964,467.6335701565077,467.6335701565077,0.6203481053363549,0.6203481053363549,1,0.8068099959928077,0,0,
0.1,0,off_peak,135,90,372.61305045070566,372.61305045070566,372.61305045070566,372.61305045070566,372.61305045070566,0.0,0.0,0,0.21101299353176728,0,0,
0.1,0,off_peak,89,177,451.0020131980052,440.9501915615443,451.0020131980052,451.0020131980052,451.0020131980052,0.0,0.0,0,0.1438429972040467,0,0,
0.1,0,off_peak,152,157,400.4752771918099,396.61318030287447,400.4752771918099,396.6036903960176,396.6036903960176,0.966748015742792,0.966748015742792,0,0.985313999990467,0,0,
0.1,0,off_peak,14,200,486.1354666910935,486.1354666910935,486.1354666910935,486.1354666910935,486.1354666910935,0.0,0.0,0,0.21628799731843174,0,0,
0.1,0,off_peak,92,184,346.05646714206273,347.37006796217884,346.05646714206273,347.8581254272715,347.8581254272715,-0.5206255210566963,-0.5206255210566963,0,0.2389659930486232,0,0,
0.1,0,off_peak,75,200,449.1201459538004,449.1201459538004,449.1201459538004,449.1201459538004,449.1201459538004,0.0,0.0,0,0.152366999827791,0,0,
0.1,0,off_peak,187,76,328.84373507331446,328.84373507331446,328.84373507331446,328.52048242799276,328.52048242799276,0.09829977306687444,0.09829977306687444,0,0.2128749983967282,0,0,
0.1,0,off_peak,33,172,393.19758630923315,393.19758630923315,393.19758630923315,393.19758630923315,393.19758630923315,0.0,0.0,0,0.19766600598813966,0,0,
0.1,0,off_peak,130,144,334.6940279477832,334.6940279477832,334.6940279477832,334.6940279477832,334.6940279477832,0.0,0.0,0,0.17865900008473545,0,0,
0.1,0,off_peak,90,166,420.6915952638841,420.6915952638841,420.6915952638841,420.6915952638841,420.6915952638841,0.0,0.0,0,0.17304100038018078,0,0,
0.1,0,off_peak,131,28,424.2812430621394,424.2812430621394,424.2812430621394,424.2812430621394,424.2812430621394,0.0,0.0,0,0.25316800019936636,0,0,
0.1,0,off_peak,50,23,412.3974679183358,408.2800901538965,412.3974679183358,412.3974679183358,412.3974679183358,0.0,0.0,0,0.5016409995732829,0,0,
0.1,0,off_peak,16,158,446.28287230990526,446.28287230990526,446.28287230990526,446.28287230990526,446.28287230990526,0.0,0.0,0,0.19800500012934208,0,0,
